"url";"Local";"Direccion";"Precio";"Ingredientes";"nota";"texto"
"https://365sanguchez.com/abocado-cantina-buenos-aires/";"Abocado Cantina";"C1125AAE, French 2316, C1125AAF CABA, Argentina";"$5.210.";"Suprema de pollo dulce, espinaca, crema ácida, repollo avinagrado y guacamole";3;"Ojo acá! En la sanguchería “Abocado” (@AbocadoCantina) de Recoleta, más que un sándwich exquisito (que igual estaba bueno), descubrí una maravilla para copiar: acá el apanado, el frito del pollo, era dulce. Y bien crocante. Exquisito. Les juro que es el mejor apanado que he probado en mi vida. A esta suprema de pollo dulce, la acompañaban con espinaca (yo la hubiese puesto a la crema), crema ácida, repollo avinagrado y guacamole. Lamentablemente, la palta acá en Argentina no es como la chilena. Es más aguachenta. Y el pan, nuevamente sigue la línea que me ha tocado en este país, que no logra ser del nivel que tenemos en Chile. Pero insisto: ese batido hay que exportarlo. Estaba exquisito. Y sigo pensando en él."
"https://365sanguchez.com/alba-hotel-matanzas/";"Alba Hotel";"Carlos Ibañez del Campo s/n – Matanzas, Navidad";" $7.000";" Carne mechada en reducción de vino tinto, champiñones salteados, cebolla caramelizada y queso derretido";3;"Aprovechando que me escapé a Matanzas con @catabarra_ a canjear mi regalo de cumpleaños (clases de surf), quise probar algunos sanguchitos de la zona. Y como hace un año me quedé a alojar en @albahotelboutique y tuve una muy buena experiencia, hoy quise darle una oportunidad a su carta de comida. Y a pesar de que en general nos fue bastante mal (3 de los platos andaban muuuy bajos), mi sanguchito salvó muy bien. Y es que la mezcla de carne mechada en reducción de vino tinto, champiñones salteados, cebolla caramelizada en marraqueta (y le sumé queso derretido), es demasiado buena. No falla. Así que de 1 a 5, este se lleva 3 narices de chancho. Es decir, es un buen sándwich. Vaya a probarlo con confianza. Una marrquetita crujiente y de poca miga, una mechada muy suave y harto queso son sus puntas de lanzas. Sí, hay cosas por mejorar. Por ejemplo, las “mechas” de la carne como que se pegaban unas a otras, entonces a veces de un mordisco te llevabas casi toda la carne. O el caldo lo haría más intenso. Porque lo que chorreaba aquí eran los champiñones más que la carne. Pero apaña harto, además que estás comiendo EN la playa misma."
"https://365sanguchez.com/albedrio-restaurant-santiago-centro/";"Albedrio Restaurant";"Huérfanos 640, Santiago, Región Metropolitana";"$7.290";"Mayonesa al olivo, champiñones salteados, jalapeños, queso Mozzarella, papas hilo y cebolla morada";4;"Sin duda, uno de los lugares que me ENCANTA visitar. Lejos la mejor hamburguesa que tienen es la Portobello (con un champiñón frito relleno de Cheddar y todo), pero como no estamos en temporada de hongos, no había ahora. Esa, sin duda, se lleva cinco narices. Hoy vine a @RestoAlbedrio con@MaxKbzon y nos dimos la torta comiendo. Él fue por un sándwich de prieta con manzana verde, papas hilo y mayo de ají verde. Yo, una burger “Picante”, con mayonesa al olivo, champiñones salteados, jalapeños, queso Mozzarella, papas hilo y cebolla morada. Solo les adelanto una cosa: tienen una salsa de reducción de cerveza con jugo de piña y azúcar rubia, que debiesen venderla en bidones!! Es EXQUISITA!"
"https://365sanguchez.com/albedrio-restaurant-santiago-centro-2/";"Albedrío Restaurant";"Pasaje Huerfanos 640 edificio B local 5, Santiago";"$8.690";"Queso Mozzarella, Rúcula, Champiñon portobello relleno de cheddar y luego apanado en panko y frito";4;"Con @nitanzorron fuimos a probar esta maravilla de @albedrio_resto. Anoten: hamburguesa casera, queso mozzarella, rúcula y champiñon portobello relleno de cheddar y luego apanado en panko y frito . Una maravilla! Es que los champiñones rellenos ya son atómicos… Pero ahora que vienen fritos, tienes un sabor estratosférico. La mejor idea del mundo. Es una verdura muy “carnosa” y rica, realzada por el queso y el apanado. El toque amargo de la rúcula viene bien, y la hamburguesa en sí, creo que es la más jugosa que he probado. Me recordó a la de Ciudad Vieja. Anda perfecta. El pan Brioche, bien dulce, y de miga consistente. No tan aireada. Mi único punto a mejorar es que sentí que era muy “aguado” (los champiñones tienen alto porcentaje de agua), por lo que me faltó malicia. Un picante, o una salsa de ajo… No sé. Algo que te vuele la cabeza. De hecho, Albedrío tiene dos salsas que creo que pondrían a esta hamburguesa en el top chileno: la de la casa, que es una reducción de cerveza, pulpa de piña y azúcar rubia, y una mayonesa con cilantro y ajo que es perfecta. Con @nitanzorron conversamos que agregando esa salsa, el sandwich sube de nivel a SS3. Muy buena. Vayan a ver nuestra visita a mi canal de YouTube (link en mi perfil) para todos los detalles y comenten si les tinca porque encuentro que es mega creativa y muuuuy rica."
"https://365sanguchez.com/aldea-nativa-providencia/";"Aldea Nativa";"Tobalaba 1799, Providencia, Región Metropolitana";"$4.900";"Tofu asado no transgénico, palta, tomate, champiñones, mix de hojas verdes orgánicas,  mayonesa de zanahoria vegana casera,";4;"Ojo los vegetarianos!! Porque gracias a@genoveva_tenaillon (síganla si quieren ver unas recetas exquisitas pero saludables al mismo tiempo) que me pasó el dato, encontré el templo de los sándwiches vegetarianos y jugos naturales wenos wenos wenos. Es Aldea Nativa, en Tobalaba, y a pesar de que es 99% más probable que prefiera un sándwich carnívoro, creo que los que probé acá son de los mejorcitos que me han tocado (hasta ahora, en La Tegualda están los mejores). El Barros Luco de la Geno estaba bien bueno (con carne de libre pastoreo, sin hormonas ni antibióticos… Y no, claramente este no era veggie jaja), pero me gustó más el mío: tofu asado no transgénico, palta, tomate, champiñones, mix de hojas verdes orgánicas, y le sumé una mayonesa de zanahoria vegana casera, que viene con todos los sándwiches (échensela entera). A ver. Era rico, pero la nota se la lleva principalmente porque es el mejor tofu que he probado en Chile. En general lo cocinan muy fome, pero este estaba marinado en soya y asado a la plancha, así que tenía un gustito distinto al típico “quesillo sin sabor” jajaj. Además, venía como con un cevichito de champiñones que también se lo puse adentro  y agarró una jugosidad que el pan agradeció. Con estos dos ingredientes que le puse, las verduras agarraron un aliño exquisito. De los vegetarianos que he probado, es de los más ricos. Pero si no te gusta el Tofu, también puedes probar alguna de las hamburguesas vegetarianas que tienen. Me gustó harto el lugar, además de que también es un mercado donde venden miles de productos orgánicos, vegetarianos y de esa onda."
"https://365sanguchez.com/aleman-experto-providencia/";"Alemán Experto";"Av. Pedro de Valdivia 1683, Providencia, Santiago";"$6.500";"Hamburguesa, queso Cheddar, cebolla caramelizada, berros, pepinillos y salsa Jack Daniel’s Honey.";3;"Salsa de bourbon: checkAlemán ExpertoCómo llegué a Alemán ExpertoYa había venido un par de veces al Alemán Experto. Tanto al local de Santa Magdalena, como a este de Pedro de Valdivia. En todas las visitas tuve suerte dispar. En algunos me gustó harto, otras no tanto.La cosa es que hoy tuve que hacer trámites cerca, y como tenía poco tiempo para buscar una sanguchería, preferí ir al Alemán Experto, que aún no lo sumaba a 365 Sánguchez.Fotos tomadas con mi celular Sony Xperia XRestaurante y sanguchería Alemán ExpertoAlemán Experto es una sanguchería que cuenta con dos locales. El primero está en Santa Magdalena, y el otro en Pedro de Valdivia, en la esquina con Francisco Bilbao. Ojo, que también están abriendo uno en La Dehesa.Este restaurante es, tal como lo dice su nombre, bien alemán. Es decir, abundan los sánguches grandes y la cerveza.Hablando del local de Pedro de Valdivia, siento que hicieron un gran trabajo con su fachada exterior. Si no me creen, miren la foto de más arriba. Y es que la terraza que sacaron está increíble. Además, por su ubicación, siempre hay gente, por lo que me tinca que se arma buen ambiente para los after office.Les dejo su pagina web. Carta de sándwiches Alemán ExpertoLa carta de sándwiches del Alemán Experto es amplia, tanto en sus bases, como también en sus combinaciones gourmet y clásicas.Por el lado más jugado, la sanguchería Alemán Experto cuenta con hamburguesas y mechadas BBQ. De las primeras, destacan una que tiene camarones y queso azul ($6.400), y la que pedí yo. Se llama Jack Daniel’s Honey, y tiene una salsa basada en ese licor, además de queso Cheddar, berros, cebolla caramelizada y pepinillos.En las mechadas BBQ, hay dos opciones. una con tocino crispy, y la otra con queso Azul y aros de cebolla.Luego de esta sección más “gourmet”, Alemán Experto también cuenta con hamburguesas, churrascos, lomitos, aves, salchichas y mechadas para poder armarlas como italianos, lucos y chacareros.Para terminar, hay una sección de sándwiches vegetarianos. Son hamburguesas de quinoa, y tiene cuatro combinaciones distintas. Hamburguesa Jack Daniel’s Honey en Alemán ExpertoA pesar de no ser un fanático del bourbon, admito que sí me gusta esta variante con toques de miel. Y en una salsa, mejor aún.Tengo que decir que es un sándwich correcto. La salsa no se roba el protagonismo, y aporta un toque justo de dulzor y también de “malicia”.La cebolla caramelizada estaba suave, y los berros perfectos para contrastar el frescor con lo dulce de la cebolla y la salsa.Lo que no me gustó tanto, es que la hamburguesa estaba un poco seca. Tuvo suerte, eso sí, de que venía acompañada con harta salsa, por lo que lograba pasar piola. Pero si nos quedamos en la carne, le falta.Y el otro punto negativo, y esto ya parece que es una maldición que me persigue, fue el queso Cheddar. Primero, porque no estaba derretido. Cueck. Y segundo, porque su sabor era demasiado plástico. Les prometo que tengo ganas de hacer una cata de quesos Cheddar, quizás con Daniel Greve, para poderles recomendar cuáles son buenos. Pero este, no.Maridaje con Cerveza Austral LagerEn resumen: Alemán Experto puede ser experto en otras cosas, pero no en hamburguesasRecién ahora, que estoy escribiendo estas líneas, me doy cuenta que quizás hice una movida tonta. Si voy a un lugar que se llama Alemán Experto, lo normal sería haber pedido un lomito. Con chucrut, con pepinillos… algo por ahí.Se supone que los alemanes también le pegan a las fricandelas, pero este no fue el caso. De hecho, la carne no era tan especiada como suele serlo en ese país. Pero aún así, me tinca que el lomito aquí puede ser un gran acierto.Quedé con ganas de volver. Volver y probar otra proteína, como el lomito o la mechada. Así que nos vemos pronto, Alemán Experto."
"https://365sanguchez.com/ales-sushi-sandwich-rancagua/";"Ale’s Sushi & Sándwich";"Avda. España 449, Rancagua, Región del Libertador General Bernardo O’Higgins";"$5.500";"Carne de vacuno, con cebolla caramelizada, palta, queso derretido, merkén, tocino, champiñones y 2 huevos fritos";3;"Derribando mitosAles Sushi & SandwichCómo llegué a Ales Sushi & SandwichLos chiquillos de La Crianza me llamaron para tener una reunión. Y como era horario de almuerzo, les dije que ellos eligieran un restaurante para aprovechar de sumar un sándwich a 365 Sánguchez. Como todos los de Agrosuper son de Rancagua, se manejaban y dijeron que nos juntáramos en Ales Sushi & Sandwich.Admito que intento evitar los locales que venden demasiadas comidas distintas entre sí. En este caso, sushi y sándwiches. Pero como ellos lo recomendaban, me sumé sin alegar. Restaurante Ales Sushi & SandwichAles Sushi & Sandwich está ubicado en Avenida España 449, Rancagua. Está como en una mini caletera de la avenida, justo en toda una esquina.El barrio es tranquilo, y me atrevería a decir que es de los locales prendidos del barrio. Entramos y había harta gente. El local tiene unas mesas tipo “tronco de árbol cortado”. Bien taquillas, solo que eran enanas!! Y las sillas eran suficientemente altas como para que tus rodillas no cupiesen debajo de la mesa. La verdad, bastante incómodo.Apenas entras tienes una barra de madera a la izquierda, el mesón de atención al fondo, y a la derecha un par de estas mesas que les comenté. Junto a esas mesas, una puerta te lleva al segundo comedor, mucho más amplio. Y luego, viene la terraza, que por el calor, evitamos. Carta de sándwiches en Ales Sushi & SandwichAles Sushi & Sandwich tiene una carta infinita de sándwiches. Ya lo he comentado antes, pero me apesta, porque te hace la tarea de elegir, una misión imposible. Y peor aún cuando no es que tengan miles de innovaciones, sino que le van sumando de a un ingrediente para casi ofrecerte todas las combinaciones posibles.Dejando mi Grinch de lado, igual Ales Sushi & Sandwich tenía buenas opciones. Yo fui por el “Misionero”. Carne de vacuno, con cebolla caramelizada, palta, queso derretido, merkén, tocino, champiñones y 2 huevos fritos. Una bomba.Tienen lomo de cerdo, carne de vacuno, vienesas, choripanes, hamburguesas artesanales dobles, y “otros sándwiches”. En esta última sección, hay una opción de pedir 2 mini sándwiches que igual está buena, aunque son más fomes. Churrasco Misionero en Ales Sushi & SandwichAdmito que soy bien chancho. Y por lo mismo, tengo una inclinación por los platos que combinan muchos ingredientes. Así, mi plato preferido es el charquicán. También la torta de panqueques. Los tacos. Y obviamente, los sándwiches. Todos ellos, se caracterizan por su variedad de sabores y mixturas.Pero acá en Ales Sushi & Sandwich, creo que no le dieron muchas vueltas, y simplemente agarraron miles de ingredientes y los pusieron entre dos panes. Creo que la combinación no era la mejor. Ojo, que igual era un buen sándwich. Me gustó. Solo que le podrían haber sacado mayor provecho. Le ponían abundante cantidad de cada uno, pero creo que varios se perdían. He ahí el punto.Es un buen sándwich, pero en Rancagua recomiendo más el Juan y Medio o el Mini Restaurante. Crítica de Max Ferretti a Ales Sushi & SandwichMax Ferretti: “Un exquisito Sandwich con un exceso de lechuga/tomate.Ale´s Sushi es más conocido por sus buenos sándwiches que por el sushi (también muy bueno). Al llegar a este local, se pueden dar cuenta del ambiente provinciano.. no es como aquellos grandes locales de Santiago sino más bien un espacio rústico para compartir a lo que vinimos: un güen saánguche!!Al mirar la carta me tope con “Don Max” un sándwich que prometía según su descripción. En honor al comensal, no lo dudé y lo pedí.Básicamente en pan frica, una buena porción de mayo casera muy bien lograda y otra buena porción de palta fresca. Luego una hamburguesa casera con mucho sabor envuelta en tocino y luego tres pisos de tomate y 2 de lechuga para terminar con una rica mechada. Por lo menos 20 cms de alto en total.Como sándwich rescato la hamburguesa, las porciones de palta/mayo y por supuesto la mechada… es un rico sándwich pero tiene sus puntos bajos. Por ejemplo, el exceso de tomate, que además tenía cascara, y los 2 pisos de lechuga los hubiera bajado a 1/3 ya que más que agregarle valor le quitan.Para mi, 3 narices de chancho. Rico pero no extraordinario. En resumen: no juzgar porque venda sushiAles Sushi & Sandwich me tapó la boca. ¿En qué sentido? En el que les comenté al principio, sobre evitar los locales que venden cosas tan distintas como “sushi y sándwich”. Y ojo que no es tanto por la técnica de cocina, sino también por un tema de logística y mantenimiento de productos.Pero acá me encontré con un rico sándwich. Gigante. Quizás es más para matar tu inmensa hambre que para comerte el mejor sándwich del mundo, pero me gusta que existan locales así. Dedo para arriba, y 3 narices de chancho. "
"https://365sanguchez.com/alfonsina-la-parva/";"Alfonsina";"Sector Golondrina, La Parva";"$8.000";"Mechada con salsa de vino tinto, cebolla caramelizada y champiñones salteados.";3;"La raja partir el día con una vista como esta! Por pega me tocó ir a La Parva, así que aproveché de probar el restaurante Alfonsina. Es de los mismo dueños del hotel El Alba de Matanzas, y debo decir que se nota que saben hacer las cosas bien. Ese hotel es increíble, y el sándwich de mechada con salsa de vino tinto, cebolla caramelizada y champiñones salteados, en una marraqueta. El pan tenía un dejo a Ciabatta, porque estaba como espolvoreado con harina arriba. Era rico, pero no muy crujiente. La mechada estaba harto buena, aunque eché de menos más juguito, aprovechando el vino. Cebolla caramelizada en su punto, probablemente endulzada en sus propios azúcares, como tiene que ser. Y los champiñones exquisitos. Creo que una mayonesa o un quesito derretido le hubiesen venido muy bien. Como que me faltó algo más jugoso/pastoso. En todo caso, en general en la nieve he comido muuuuuuy mal, así que Alfonsina es un tremendo descubrimiento. Está para volver."
"https://365sanguchez.com/allegro-caracas-plaza-nunoa/";" Allegro Caracas";"Diecinueve de Abril 3526, Ñuñoa, Región Metropolitana";"$8.900";"Plátano verde frito en vez de pan, carne mechada, queso y rúcula.";3;"Se viene Chile v/s Venezuela!! ????. Así que para estar a tono, vine al restaurante venezolano @allegrocaracas de Plaza Ñuñoa. Me acompañó mi partner Nicolás Morales, de la @queseria_Calafquen(@NMoralesZ). Él se fue por una cachapa rellena con mechada y queso telita. Yo ataqué el de la foto, que es un sándwich que usa plátano verde frito en vez de pan, y le ponen carne mechada, queso y rúcula.Muy buena idea para copiarla en la casa!! ¿Quién ha probado comida venezolana?"
"https://365sanguchez.com/amado-27-providencia/";"Amado 27";"Las Urbinas 27, Providencia, Región Metropolitana";"$5.900";"Costillar de cerdo, pepinillos caseros, queso Cheddar, coleslaw y salsa BBQ";3;"Noooooooo, csm qué rico este sánguche!! Me hizo feliz, lo admito. Es un sándwich de costillar de cerdo cocinado lentamente por 10 horas, con pepinillos caseros, queso Cheddar, coleslaw y salsa BBQ ?. De verdad que es una maravilla. Pancito blando y esponjoso, cero dulce. Los ingredientes, todos perfectamente mezclados. Ninguno se llevaba el protagonismo. Y el chanchito estaba blando como pocos, jugoso, perfecto. Muy weno!! Este sándwich es de @Amado27.cl. Me acompañó mi amigo @PanchoSanchezBy se comió una burger bien buena también. En la página web estará también su comentario"
